City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,22.18,94,100,5.66,US,1675547599
1,aykhal,66.0,111.5,-38.05,100,84,1.04,RU,1675547831
2,mar del plata,-38.0023,-57.5575,22.13,69,0,5.66,AR,1675547831
3,busselton,-33.65,115.3333,22.63,43,75,3.19,AU,1675547832
4,pasaco,13.9772,-90.2064,34.22,32,18,2.7,GT,1675547833
5,saskylakh,71.9167,114.0833,-36.88,99,87,1.37,RU,1675547678
6,cherskiy,68.75,161.3,-38.11,100,97,1.93,RU,1675547788
7,bergerac,44.8333,0.5,7.15,93,0,1.03,FR,1675547834
8,samana,19.2056,-69.3369,28.12,78,20,3.09,DO,1675547835
9,nemuro,43.3236,145.575,-5.85,74,35,3.74,JP,1675547835
10,vardo,70.3705,31.1107,-9.01,79,85,5.66,NO,1675547751
11,salinopolis,-0.6136,-47.3561,25.71,87,98,5.44,BR,1675547642
12,albany,42.6001,-73.9662,-11.17,45,66,1.97,US,1675547543
13,langenburg,49.2544,9.8458,1.54,90,20,2.57,DE,1675547837
14,brae,60.3964,-1.3530000000000002,5.72,66,55,9.87,GB,1675547490
15,mataura,-46.1927,168.8643,21.93,72,100,1.67,NZ,1675547638
16,rikitea,-23.1203,-134.9692,26.08,74,2,6.17,PF,1675547636
17,cody,44.5263,-109.0565,7.36,33,0,10.29,US,1675547838
18,punta arenas,-53.15,-70.9167,10.06,93,100,4.12,CL,1675547505
19,dikson,73.5069,80.5464,-19.98,98,100,1.49,RU,1675547734
20,katsuura,35.1333,140.3,6.33,68,8,6.03,JP,1675547740
21,barra do garcas,-15.89,-52.2567,25.32,83,75,0.0,BR,1675547840
22,nyurba,63.2842,118.3319,-47.39,100,100,0.82,RU,1675547841
23,lebu,-37.6167,-73.65,17.05,86,57,2.24,CL,1675547693
24,saint-philippe,-21.3585,55.7679,25.77,86,98,4.39,RE,1675547647
25,qaanaaq,77.484,-69.3632,-19.66,62,85,2.42,GL,1675547657
26,te anau,-45.4167,167.7167,18.85,98,100,1.19,NZ,1675547743
27,gonbad-e qabus,37.25,55.1672,5.53,35,100,2.9,IR,1675547843
28,cidreira,-30.1811,-50.2056,24.29,70,64,4.62,BR,1675547697
29,guerrero negro,27.9769,-114.0611,20.88,35,0,4.75,MX,1675547713
30,kodiak,57.79,-152.4072,-1.27,80,0,0.0,US,1675547488
31,kambove,-10.8764,26.5969,15.52,98,100,1.92,CD,1675547847
32,chuy,-33.6971,-53.4616,20.26,80,3,6.96,UY,1675547744
33,san ignacio,17.1561,-89.0714,26.08,78,75,0.0,BZ,1675547814
34,ushuaia,-54.8,-68.3,11.81,58,75,5.14,AR,1675547643
35,lenine,45.2986,35.7771,3.18,81,100,3.91,UA,1675547848
36,thompson,55.7435,-97.8558,-18.91,65,20,1.54,CA,1675547397
37,mount gambier,-37.8333,140.7667,14.52,78,100,1.48,AU,1675547417
38,klaksvik,62.2266,-6.5889999999999995,4.51,73,43,15.06,FO,1675547849
39,hualmay,-11.0964,-77.6139,23.77,76,95,3.38,PE,1675547589
40,hithadhoo,-0.6,73.0833,27.51,71,95,6.66,MV,1675547487
41,ialibu,-6.2821,143.9935,14.86,96,100,0.49,PG,1675547850
42,puerto ayora,-0.7393,-90.3518,29.98,88,51,3.58,EC,1675547405
43,margate,51.3813,1.3862,7.95,74,100,0.45,GB,1675547657
44,olinda,-8.0089,-34.8553,26.85,83,75,2.06,BR,1675547609
45,yellowknife,62.456,-114.3525,-26.71,69,75,0.0,CA,1675547644
46,tuktoyaktuk,69.4541,-133.0374,-41.0,66,0,0.0,CA,1675547640
47,hobart,-42.8794,147.3294,17.25,63,20,3.6,AU,1675547629
48,pervomayskiy,53.2485,40.2871,-6.86,96,96,2.22,RU,1675547852
49,tual,-5.6667,132.75,27.23,83,100,6.35,ID,1675547852
50,okhotsk,59.3833,143.3,-26.86,82,40,4.97,RU,1675547809
51,artyom,40.4723,50.333,4.08,78,100,5.01,AZ,1675547853
52,beboto,8.2668,16.939,25.68,16,22,1.26,TD,1675547853
53,beisfjord,68.3751,17.5988,1.03,87,100,4.11,NO,1675547854
54,hilo,19.7297,-155.09,24.58,93,75,2.57,US,1675547397
55,cayenne,4.9333,-52.3333,23.02,94,100,6.17,GF,1675547748
56,pakokku,21.3333,95.1,19.62,34,93,2.54,MM,1675547855
57,shakiso,5.75,38.9167,13.81,35,32,1.88,ET,1675547855
58,iqaluit,63.7506,-68.5145,-36.84,65,40,6.17,CA,1675547757
59,hasaki,35.7333,140.8333,2.9,57,4,7.69,JP,1675547856
60,todos santos,23.45,-110.2167,27.95,73,20,2.45,MX,1675547857
61,ponta do sol,32.6667,-17.1,16.35,50,18,4.32,PT,1675547554
62,atuona,-9.8,-139.0333,26.03,72,38,8.46,PF,1675547632
63,olafsvik,64.8945,-23.7142,2.89,80,100,11.19,IS,1675547858
64,bluff,-46.6,168.3333,17.55,94,100,5.61,NZ,1675547537
65,kahului,20.8947,-156.47,26.02,76,20,7.72,US,1675547506
66,bismarck,46.8083,-100.7837,5.91,65,0,8.23,US,1675547621
67,pevek,69.7008,170.3133,-37.42,100,93,0.74,RU,1675547690
68,marawi,7.9986,124.2928,18.78,90,100,0.65,PH,1675547447
69,anadyr,64.75,177.4833,-29.72,69,0,7.0,RU,1675547859
70,avarua,-21.2078,-159.775,29.03,79,75,6.17,CK,1675547541
71,aguimes,27.9054,-15.4461,13.7,77,40,3.6,ES,1675547420
72,trinidad,-14.8333,-64.9,28.99,70,75,1.54,BO,1675547649
73,faya,18.3851,42.4509,13.29,61,78,0.65,SA,1675547748
74,pontes e lacerda,-15.2261,-59.3353,25.42,89,93,1.0,BR,1675547861
75,kemijarvi,66.7131,27.4306,-16.22,97,100,1.45,FI,1675547443
76,severobaykalsk,55.65,109.3167,-19.9,90,78,2.36,RU,1675547861
77,vaini,-21.2,-175.2,29.09,79,40,4.12,TO,1675547862
78,nattam,10.2333,78.2333,22.25,87,53,2.02,IN,1675547862
79,portland,45.5234,-122.6762,12.25,77,100,4.02,US,1675547626
80,rio gallegos,-51.6226,-69.2181,19.03,59,75,5.66,AR,1675547646
81,keetmanshoop,-26.5833,18.1333,26.99,26,66,6.38,,1675547863
82,le port,-20.9373,55.2919,26.0,82,99,1.78,RE,1675547863
83,port alfred,-33.5906,26.891,23.43,89,100,0.89,ZA,1675547498
84,cabo san lucas,22.8909,-109.9124,26.45,47,23,0.89,MX,1675547864
85,esperance,-33.8667,121.9,17.63,69,0,6.27,AU,1675547496
86,port elizabeth,-33.918,25.5701,24.1,62,100,0.65,ZA,1675547490
87,ramsar,36.9226,50.6426,8.69,61,0,1.03,IR,1675547865
88,shangrao,28.4532,117.9686,6.55,96,100,1.59,CN,1675547865
89,seoul,37.5683,126.9778,-3.31,93,20,1.54,KR,1675547604
90,iwanai,42.9744,140.5089,-3.15,72,100,5.12,JP,1675547866
91,florianopolis,-27.6146,-48.5012,23.12,80,75,4.12,BR,1675547866
92,belaya gora,68.5333,146.4167,-37.72,100,98,1.79,RU,1675546975
93,george town,5.4112,100.3354,25.96,88,20,3.6,MY,1675547821
94,taltal,-25.4,-70.4833,22.39,74,42,1.67,CL,1675547420
95,jamestown,42.097,-79.2353,-3.03,32,0,6.17,US,1675547533
96,kony,47.6305,17.3572,-0.52,66,16,7.4,HU,1675547867
97,bredasdorp,-34.5322,20.0403,20.93,81,0,3.64,ZA,1675547629
